time_seconds,i,offset_meters,offset_back_meters,total_dist_meters,link_idx_front,link_idx_back,offset_in_link_meters,speed_meters_per_second,speed_limit_meters_per_second,speed_target_meters_per_second,dt_seconds,length_meters,mass_static_kilograms,mass_rot_kilograms,mass_freight_kilograms,weight_static_newtons,res_rolling_newtons,res_bearing_newtons,res_davis_b_newtons,res_aero_newtons,res_grade_newtons,res_curve_newtons,grade_front,grade_back,elev_front_meters,elev_back_meters,pwr_res_watts,pwr_accel_watts,pwr_whl_out_watts,energy_whl_out_joules,energy_whl_out_pos_joules,energy_whl_out_neg_joules,dist_in_main,milepost
17619.0,17619,309117.70490656194,307302.5055465619,307317.70490656106,1,1,309102.5055465619,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77553327674.94144,120014136746.13324,42460809071.19054,257317.70490656106,336.79020648623725
17620.0,17620,309132.90426656196,307317.70490656194,307332.9042665611,1,1,309117.70490656194,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77558882622.122,120019691693.3138,42460809071.19054,257332.9042665611,336.7996509541558
17621.0,17621,309148.103626562,307332.90426656196,307348.1036265611,1,1,309132.90426656196,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77564437569.30255,120025246640.49435,42460809071.19054,257348.10362656112,336.8090954220744
17622.0,17622,309163.302986562,307348.103626562,307363.30298656115,1,1,309148.103626562,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77569992516.48311,120030801587.67491,42460809071.19054,257363.30298656115,336.8185398899929
17623.0,17623,309178.50234656205,307363.302986562,307378.5023465612,1,1,309163.302986562,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77575547463.66367,120036356534.85547,42460809071.19054,257378.50234656117,336.8279843579114
17624.0,17624,309193.7017065621,307378.50234656205,307393.7017065612,1,1,309178.50234656205,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77581102410.84422,120041911482.03603,42460809071.19054,257393.7017065612,336.83742882583
17625.0,17625,309208.9010665621,307393.7017065621,307408.90106656123,1,1,309193.7017065621,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77586657358.02478,120047466429.21658,42460809071.19054,257408.90106656123,336.84687329374856
17626.0,17626,309224.10042656213,307408.9010665621,307424.10042656126,1,1,309208.9010665621,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77592212305.20534,120053021376.39714,42460809071.19054,257424.10042656126,336.85631776166707
17627.0,17627,309239.29978656216,307424.10042656213,307439.2997865613,1,1,309224.10042656213,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77597767252.3859,120058576323.5777,42460809071.19054,257439.29978656129,336.8657622295856
17628.0,17628,309254.4991465622,307439.29978656216,307454.4991465613,1,1,309239.29978656216,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77603322199.56645,120064131270.75826,42460809071.19054,257454.4991465613,336.87520669750415
