ReportDate,Subdivision,LineCode,TrackNumber,beg_mp,end_mp,length_ft,length_m,grade_to_next,speed,curvature_deg,curve_radius_m,road_grade_pct,speed_kph,cumulative_distance_m,elevation_m
2022-12-28,HENDERSON,00H,SG,247.59621212121212,247.5964015151515,0.9999999999990904,0.3047999999997227,-0.6,38,-0.2,28647.899999999998,-0.6,61.15492,103.63199999995098,-0.6280403999997052
2022-12-28,HENDERSON,00H,SG,251.61363636363637,251.61382575757577,0.9999999999990904,0.3047999999997227,-0.6,43,0.0,1000000.0,-0.6,69.20162,103.9367999999507,-0.6298691999997035
2022-12-28,HENDERSON,00H,SG,251.58106060606065,251.5814393939394,1.999999999998181,0.6095999999994455,-0.6,43,0.0,1000000.0,-0.6,69.20162,104.54639999995014,-0.6316979999997018
2022-12-28,HENDERSON,00H,SG,249.5659090909091,249.56628787878788,1.999999999998181,0.6095999999994455,-0.6,41,-0.1,57295.799999999996,-0.6,65.98294,105.15599999994959,-0.6353555999996985
2022-12-28,HENDERSON,00H,SG,247.5992424242424,247.5996212121212,1.999999999998181,0.6095999999994455,-0.6,37,-0.1,57295.799999999996,-0.6,59.54558,105.76559999994903,-0.6390131999996952
2022-12-28,HENDERSON,00H,SG,249.59867424242424,249.59905303030305,1.999999999998181,0.6095999999994455,-0.6,42,0.0,1000000.0,-0.6,67.59228,106.37519999994848,-0.6426707999996919
2022-12-28,HENDERSON,00H,SG,250.6784090909091,250.6787878787879,1.999999999998181,0.6095999999994455,-0.6,42,0.0,1000000.0,-0.6,67.59228,106.98479999994792,-0.6463283999996886
2022-12-28,HENDERSON,00H,SG,250.66666666666663,250.66704545454544,1.999999999998181,0.6095999999994455,-0.6,42,0.0,1000000.0,-0.6,67.59228,107.59439999994737,-0.6499859999996853
2022-12-28,HENDERSON,00H,SG,250.6734848484849,250.67386363636365,1.999999999998181,0.6095999999994455,-0.6,42,0.0,1000000.0,-0.6,67.59228,108.20399999994682,-0.653643599999682
2022-12-28,HENDERSON,00H,SG,250.78825757575757,250.78863636363636,1.999999999998181,0.6095999999994455,-0.6,41,0.0,1000000.0,-0.6,65.98294,108.81359999994626,-0.6573011999996787
2022-12-28,HENDERSON,00H,SG,250.6903409090909,250.6907196969697,1.999999999998181,0.6095999999994455,-0.6,42,0.0,1000000.0,-0.6,67.59228,109.42319999994571,-0.6609587999996754
2022-12-28,HENDERSON,00H,SG,250.8371212121212,250.8375,1.999999999998181,0.6095999999994455,-0.6,41,0.0,1000000.0,-0.6,65.98294,110.03279999994515,-0.6646163999996721
2022-12-28,HENDERSON,00H,SG,251.59905303030305,251.5994318181818,1.999999999998181,0.6095999999994455,-0.6,43,0.0,1000000.0,-0.6,69.20162,110.6423999999446,-0.6682739999996689
2022-12-28,HENDERSON,00H,SG,249.5433712121212,249.54375,1.999999999998181,0.6095999999994455,-0.6,42,-0.6,9549.300000000001,-0.6,67.59228,111.25199999994405,-0.6719315999996656
2022-12-28,HENDERSON,00H,SG,249.5623106060606,249.5626893939394,1.999999999998181,0.6095999999994455,-0.6,41,-0.1,57295.799999999996,-0.6,65.98294,111.8615999999435,-0.6755891999996623
2022-12-28,HENDERSON,00H,SG,250.61761363636364,250.61799242424243,1.999999999998181,0.6095999999994455,-0.6,42,0.0,1000000.0,-0.6,67.59228,112.47119999994294,-0.679246799999659
2022-12-28,HENDERSON,00H,SG,250.8660984848485,250.86647727272728,1.999999999998181,0.6095999999994455,-0.6,41,0.0,1000000.0,-0.6,65.98294,113.08079999994239,-0.6829043999996557
2022-12-28,HENDERSON,00H,SG,251.66704545454544,251.66742424242423,1.999999999998181,0.6095999999994455,-0.6,42,0.0,1000000.0,-0.6,67.59228,113.69039999994183,-0.6865619999996524
2022-12-28,HENDERSON,00H,SG,247.60814393939393,247.6085227272727,1.999999999998181,0.6095999999994455,-0.6,37,0.0,1000000.0,-0.6,59.54558,114.29999999994128,-0.6902195999996491
2022-12-28,HENDERSON,00H,SG,249.82367424242423,249.82405303030305,1.999999999998181,0.6095999999994455,-0.6,41,0.0,1000000.0,-0.6,65.98294,114.90959999994072,-0.6938771999996458
2022-12-28,HENDERSON,00H,SG,249.5221590909091,249.5225378787879,1.999999999998181,0.6095999999994455,-0.6,42,-1.5,3819.72,-0.6,67.59228,115.51919999994017,-0.6975347999996425
2022-12-28,HENDERSON,00H,SG,250.8407196969697,250.8410984848485,1.999999999998181,0.6095999999994455,-0.6,41,0.0,1000000.0,-0.6,65.98294,116.12879999993962,-0.7011923999996392
2022-12-28,HENDERSON,00H,SG,250.63276515151512,250.63314393939393,1.999999999998181,0.6095999999994455,-0.6,42,0.0,1000000.0,-0.6,67.59228,116.73839999993906,-0.7048499999996359
