milepost,loco_force_kN,air_force_kN,total_force_kN
227.65,2612.35912513119,2351.7197347755496,4964.07885990674
228.15,4002.1929894393797,3143.2863476796524,7145.479337119032
228.65,3452.0502886393488,1812.0160598380216,5264.06634847737
229.15,2367.9074827128597,904.6971990959446,3272.6046818088043
229.65,3148.1897759834283,650.5881222513801,3798.777898234808
230.15,4047.5666687375215,642.8463924109179,4690.41306114844
230.65,3732.769354360059,32.85852511345016,3765.627879473509
231.15,4283.328202772078,127.08985799360104,4410.418060765679
231.65,3183.13326899227,4417.241617232164,7600.374886224434
232.15,3669.4168243353024,10184.702453395234,13854.119277730537
232.65,4557.328362709858,10107.186503527058,14664.514866236917
233.15,4152.861029023011,10667.8286549761,14820.68968399911
233.65,5168.03907659325,10340.611426757565,15508.650503350815
234.15,5410.789402669633,8378.513390986098,13789.30279365573
234.65,4217.070217191635,8846.19788317353,13063.268100365165
235.15,4538.448603663812,7860.710958579113,12399.159562242925
235.65,5602.114077257742,9168.590916016956,14770.704993274698
236.15,5704.413504118656,10691.389762208131,16395.803266326788
236.65,5987.630489954424,8294.272691619703,14281.903181574125
237.15,6671.579466511086,5423.797730761306,12095.377197272392
237.65,7586.128321218939,10657.812503055757,18243.940824274694
238.15,8950.109140406594,17185.89908937809,26136.008229784682
238.65,7740.798070067163,11570.047501817675,19310.845571884838
239.15,6264.418121756344,1450.1665217939824,7714.584643550326
239.65,1512.74847112089,2489.1781923321173,4001.926663453007
240.15,11166.154981517926,4861.461711232683,16027.61669275061
240.65,7306.527463815204,9484.377328967581,16790.904792782785
241.15,7365.108272633058,8165.77530701361,15530.883579646666
241.65,6258.692094916101,3001.7348247202367,9260.426919636338
242.15,5643.280591712398,1024.5412498580768,6667.821841570474
242.65,5424.152267719968,6222.716720478285,11646.868988198254
243.15,6010.858391929412,12365.644111168369,18376.50250309778
243.65,5603.968256591381,12830.708344918015,18434.676601509396
244.15,6743.317769924505,12025.591193803695,18768.9089637282
244.65,7132.912177530434,11324.607533941617,18457.51971147205
245.15,5305.262541983335,8637.129776123573,13942.392318106908
245.65,6785.20074294785,5052.058225519696,11837.258968467546
246.15,8086.515520168361,8113.294092909391,16199.809613077752
246.65,8761.261980908883,9811.437680293631,18572.699661202514
247.15,15275.031892688601,4551.731161915489,19826.76305460409
247.65,7571.5169849462,7421.221196473757,14992.738181419958
248.15,6804.9768793376315,20042.19167196728,26847.168551304912
248.65,5795.981579471214,20956.380194522957,26752.36177399417
249.15,4538.026174152895,16179.912344803523,20717.938518956416
249.65,6300.698592650763,13082.928889534076,19383.62748218484
250.15,5196.351132675083,6312.551921233758,11508.903053908842
250.65,6296.422138972572,2266.582892625015,8563.005031597586
251.15,5932.800576316696,283.4392782028186,6216.239854519515
251.65,5815.944916447806,0.0,5815.944916447806
252.15,6875.144757872153,305.13437691499007,7180.2791347871425
252.65,7623.097456755604,6089.185887945696,13712.2833447013
253.15,6720.470254454205,14574.614852658427,21295.08510711263
253.65,3344.2215777129186,18592.07074061859,21936.292318331507
254.15,4125.810978835623,15753.91249107546,19879.723469911085
254.65,5608.5143632877025,11762.649112605035,17371.16347589274
255.15,8372.583516783056,11334.448719257398,19707.032236040453
255.65,8740.925675753897,11125.427950441814,19866.353626195712
256.15,1941.2361972350586,7344.432452794351,9285.668650029409
256.65,4952.8017881639025,6078.41966011492,11031.221448278822
257.15,5480.105759649028,13188.106910107319,18668.212669756347
257.65,5475.7604606406185,16974.200500159,22449.960960799617
258.15,5822.513775476061,12134.421133985235,17956.934909461295
258.65,5282.69349642001,7841.298385237044,13123.991881657053
259.15,4462.023960349344,8454.82586870575,12916.849829055092
