milepost,peak_loco_kN,peak_air_kN,total_peak_kN
188.42500000000263,962.6005002741036,1072.776554478148,2035.3770547522518
188.47500000000264,933.8156467936091,1072.776554478148,2006.592201271757
188.52500000000265,906.9220952174111,1072.776554478148,1979.6986496955592
188.57500000000266,912.2625479261866,1072.7223975130078,1984.9849454391942
188.62500000000267,951.3881335271359,1072.12545994473,2023.513593471866
188.67500000000268,992.5765580246135,1067.8356445080553,2060.4122025326687
188.7250000000027,1001.4379184256668,1048.4005158757138,2049.8384343013804
188.7750000000027,987.6377881807124,993.7277865653296,1981.365574746042
188.82500000000272,988.7980455174575,901.2371705820175,1890.0352160994748
188.87500000000273,1003.8322831691557,815.2250904912322,1819.0573736603878
