milepost,loco_shear_kNs,car_shear_kNs,total_shear_kNs,total_vert_GNs
187.72500000000247,8830.027926071434,1213.0912965263517,10043.119222597787,1.5090500045454562
187.77500000000248,9220.681324949059,1301.210322040068,10521.891646989126,1.528174269960476
187.8250000000025,8585.837848273524,1336.5110702769975,9922.348918550522,1.5263861745059304
187.8750000000025,8629.507173754768,1348.7003401138334,9978.207513868601,1.536075779051385
187.9250000000025,9246.685332162548,1317.3829928766568,10564.068325039205,1.5360757790513848
187.97500000000252,9124.946676859792,1328.9895201636577,10453.93619702345,1.5419394835968394
188.02500000000254,9882.4513479655,1354.7329472743675,11237.184295239867,1.5495912835968397
188.07500000000255,9114.333705746423,1321.6005115052271,10435.93421725165,1.543722344466405
188.12500000000256,11245.95206921325,1296.7733317604743,12542.725400973724,1.5513741444664049
188.17500000000257,10036.949774144647,1352.3306863674409,11389.280460512087,1.5572378490118595
188.22500000000258,10487.854075338204,1423.8578969408563,11911.71197227906,1.5628466098814249
188.2750000000026,8920.061136633143,1419.6451146334873,10339.70625126663,1.5551948098814246
188.3250000000026,10563.500522907483,1382.0977608793207,11945.598283786803,1.5763621144268791
188.37500000000261,9652.91598620562,1314.152489262723,10967.068475468343,1.5666672752964446
188.42500000000263,11672.856532884194,1258.4381660218276,12931.294698906022,1.5819708752964443
188.47500000000264,9069.040264084826,1234.1157120151386,10303.155976099964,1.5781397407114641
188.52500000000265,10835.328183033285,1171.7978050032166,12007.125988036501,1.593443340711464
188.57500000000266,9965.44524086286,1198.7394140385616,11164.184654901423,1.591655245256919
188.62500000000267,9277.904556037862,1232.6746110803986,10510.57916711826,1.593438106126484
188.67500000000268,11280.532847198367,1272.6214462383336,12553.1542934367,1.6069536106719389
188.7250000000027,10753.807203976496,1355.0490998691334,12108.856303845629,1.6130722588932827
188.7750000000027,10502.282176118046,1432.0999920154684,11934.382168133514,1.618681019762848
188.82500000000272,10209.156901450222,1369.5326382771418,11578.689539727364,1.620463880632413
188.87500000000273,11490.16290155282,1330.295988063819,12820.458889616639,1.633724441501978
188.92500000000274,7392.207101786344,1434.8092436909865,8827.01634547733,1.6316814023715434
188.97500000000275,9206.366103449061,1637.6506099211158,10844.016713370178,1.6314264586956542
189.02500000000276,10206.29804773803,1703.2872155794735,11909.585263317504,1.6372901632411083
189.07500000000277,10769.825002888314,1735.9849051986087,12505.809908086923,1.6449419632411084
189.12500000000279,9612.435256338722,1779.8196217898078,11392.25487812853,1.6490175723320175
189.1750000000028,8849.71125324411,1944.4398542897231,10794.151107533833,1.6587071768774724
189.2250000000028,9964.997277547365,2207.1601895857257,12172.15746713309,1.6530984160079072
189.27500000000282,10909.81661510359,2282.0376979793723,13191.854313082962,1.664570881422927
189.32500000000283,8383.551973175148,2329.355885740143,10712.907858915292,1.6622728986166027
189.37500000000284,8244.01754407759,2402.29173341011,10646.309277487699,1.6604900377470375
189.42500000000285,8447.988390332861,2538.3445661635415,10986.332956496402,1.674005542292492
189.47500000000286,7010.699047463378,2660.9132988663887,9671.612346329766,1.6643107031620572
189.52500000000288,8870.058654825943,2778.3629812245917,11648.421636050534,1.674005542292492
189.5750000000029,6959.211237345728,2907.242563761533,9866.45380110726,1.6643107031620572
189.6250000000029,7294.509189497561,3064.451013322904,10358.960202820464,1.674005542292492
189.6750000000029,5586.613893839777,3201.238353537623,8787.8522473774,1.6645656468379464
189.72500000000292,6081.084116242114,3232.326411799979,9313.410528042092,1.6760433468379468
189.77500000000293,4799.560995877374,3263.8121337906377,8063.373129668012,1.6683915468379469
189.82500000000294,7083.922579136191,3298.067669556106,10381.990248692298,1.6722174468379467
189.87500000000296,5881.374477452017,3405.299970986509,9286.674448438527,1.6719625031620575
189.92500000000297,5183.911117202163,3616.6180349154492,8800.529152117611,1.6643107031620574
189.97500000000298,5385.998674494447,3781.04064285643,9167.039317350878,1.6604900377470375
190.025000000003,7949.210900000908,3801.401291809947,11750.612191810855,1.653093181422927
190.075000000003,9661.186472088018,3682.3103608281604,13343.496832916178,1.6607449814229267
190.125000000003,11206.566323729126,3667.2007263516925,14873.76705008082,1.654881276877472
190.17500000000302,9382.590348359088,3719.095555177254,13101.685903536341,1.6469745332015828
190.22500000000304,7802.729065262854,3719.9892398413667,11522.718305104221,1.6428989241106737
