time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms,mp,speed_mps,accel_ms2,mass_kg,F_resistance_N,F_net_required_N,F_dynamic_braking_N,F_needed_N,F_braking_total_N,F_air_braking_N
3192.0,1.0,51441.182840272944,2.2352,0.0,712087.2538483811,5514.305064120924,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.10448827452686,2.2352,0.0,14615000.0,8128641.764424887,8128641.764424887,0.0,-8128641.764424887,0.0,0.0
3193.0,1.0,51443.41804027295,2.2352,0.0,712461.53510212,5609.181039088585,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.1030993821859,2.2352,0.0,14615000.0,8129110.921653595,8129110.921653595,0.0,-8129110.921653595,0.0,0.0
3194.0,1.0,51445.65324027295,2.2352,0.0,712835.8163558587,5704.057014056245,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.10171048984495,2.2352,0.0,14615000.0,8129580.078882299,8129580.078882299,0.0,-8129580.078882299,0.0,0.0
3195.0,1.0,51447.88844027295,2.2352,0.0,713210.0976095975,5798.932989023906,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.10032159750398,2.2352,0.0,14615000.0,8130049.236111006,8130049.236111006,0.0,-8130049.236111006,0.0,0.0
3196.0,1.0,51450.12364027296,2.2352,0.0,713584.3788633363,5893.808963991568,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.098932705163,2.2352,0.0,14615000.0,8130518.393339714,8130518.393339714,0.0,-8130518.393339714,0.0,0.0
3197.0,1.0,51452.35884027296,2.2352,0.0,713958.660117075,5988.684938959228,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.09754381282204,2.2352,0.0,14615000.0,8130987.550568419,8130987.550568419,0.0,-8130987.550568419,0.0,0.0
3198.0,1.0,51454.59404027296,2.2352,0.0,714332.9413708138,6083.560913926888,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.0961549204811,2.2352,0.0,14615000.0,8131456.707797127,8131456.707797127,0.0,-8131456.707797127,0.0,0.0
3199.0,1.0,51456.82924027296,2.2352,0.0,714707.2226245526,6178.436888894549,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.09476602814013,2.2352,0.0,14615000.0,8131925.865025833,8131925.865025833,0.0,-8131925.865025833,0.0,0.0
3200.0,1.0,51459.06444027297,2.2352,0.0,715081.5038782912,6273.312863862209,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.09337713579916,2.2352,0.0,14615000.0,8132395.02225454,8132395.02225454,0.0,-8132395.02225454,0.0,0.0
3201.0,1.0,51461.29964027297,2.2352,0.0,715455.78513203,6368.188838829869,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.09198824345822,2.2352,0.0,14615000.0,8132864.179483246,8132864.179483246,0.0,-8132864.179483246,0.0,0.0
3202.0,1.0,51463.53484027297,2.2352,0.0,715830.0663857687,6463.0648137975295,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.09059935111725,2.2352,0.0,14615000.0,8133333.336711951,8133333.336711951,0.0,-8133333.336711951,0.0,0.0
3203.0,1.0,51465.770040272975,2.2352,0.0,716204.3476395074,6557.940788765191,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.08921045877628,2.2352,0.0,14615000.0,8133802.493940657,8133802.493940657,0.0,-8133802.493940657,0.0,0.0
3204.0,1.0,51468.00524027298,2.2352,0.0,716578.6288932463,6652.816763732852,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.0878215664353,2.2352,0.0,14615000.0,8134271.651169365,8134271.651169365,0.0,-8134271.651169365,0.0,0.0
