dist_bin,dist_nb_nb,res_grade_newtons_nb,res_curve_newtons_nb,res_total_nb,te_newtons_nb,dist_nb_sb,res_grade_newtons_sb,res_curve_newtons_sb,res_total_sb,te_newtons_sb
54520.0,54523.92001198361,-46437.23806262433,383.43789962717574,107712.06556643851,195111.33024340833,54521.16758701718,51771.77915038634,1804.4495217981032,207342.0944016201,294741.35907858994
54570.0,54578.90593198361,-44420.33195469329,853.9472743721457,110199.48104911452,197598.74572608434,54576.15350701718,51771.77915038597,774.3263637011502,206311.97124352277,293711.2359204926
54590.0,54597.23457198361,-43748.02991871633,1040.934253538272,111058.77006425761,198458.0347412274,54594.48214701718,51771.77915038597,438.8468653802012,205976.49174520184,293375.75642217166
54610.0,54616.45729198361,-43075.72788273957,1227.9212327043867,111918.05907940048,317079.99262544425,54612.81078701718,51336.43010694978,103.5591771972008,226259.50064814265,-360092.1835990013
54630.0,54636.57409198361,-42370.630625496065,1424.0295279273676,133872.91026642697,229798.93247285733,54632.03350701718,50598.537628434875,55.560009010992914,225473.60900144154,317007.29869032925
54650.0,54656.69089198361,-42234.87246479156,1605.681794721491,134190.3206939256,230116.34290035596,54652.15030701718,49860.64514992147,78.21522681380729,224758.37174073095,317007.29869032925
54670.0,54676.80769198362,-42234.87246479379,1780.8231221189983,134365.46202132088,230291.4842277512,54672.267107017185,49122.752671409165,97.79702471114096,224040.061060116,317007.29869032925
54690.0,54696.92449198362,-42234.87246479435,1965.6466807313243,134550.28557993265,230476.307786363,54692.38390701719,48384.86019289836,138.01165194197785,223342.38320883602,317007.29869032925
54710.0,54717.04129198362,-42234.8724647936,2152.7953567780373,134737.4342559801,230663.45646241042,54712.50070701719,47646.96771438904,216.26867374850875,222682.74775213323,317007.2986903631
54730.0,54737.15809198363,-42168.80360973836,2244.650745183731,134895.35849944103,230821.38070587136,54732.617507017196,46909.075235878234,314.8524277362958,222043.43902761018,317007.2986267898
54750.0,54757.27489198363,-41871.31365581926,2163.2852442430376,135111.48295241944,231037.50515884976,54752.7343070172,46171.1827573678,435.2924179092932,221425.98653927277,317007.4177295038
54770.0,54777.391691983634,-41555.07402217241,2060.494609012212,135324.93195083545,231250.95415726578,54772.8511070172,45433.29027885699,605.4584013560722,220858.26004420873,316784.28225063905
54790.0,54797.50849198364,-41238.83438852407,1931.1932886038412,135511.87026407543,231437.8924705058,54792.967907017206,44695.39780034656,792.5793416549781,220307.48850599723,316233.5107124275
54810.0,54817.62529198364,-40922.594754876474,1754.836991017307,135651.7536001365,231577.77580656682,54813.08470701721,43957.50532183612,997.2435581194092,219774.2602439512,315700.2824503815
54830.0,54837.74209198365,-40606.35512122925,1563.3960567395295,135776.55229950594,231702.57450593627,54833.20150701721,43219.6128433268,1202.4731693993317,219241.5973767218,315167.6195831521
54850.0,54857.85889198365,-40290.11548758203,1358.958746901256,135888.3546233149,231814.37682974522,54853.318307017216,42482.13697439596,1407.6871142073396,218709.33545259899,314635.3576590293
54870.0,54877.97569198365,-39894.21600081577,1163.9389291518207,136089.23429233173,232015.2564987621,54873.43510701722,42234.87246478821,1594.301524427813,218648.6853532117,314574.70755964203
54890.0,54898.092491983654,-39472.56315595293,972.9948883226058,136319.94309636534,232245.96530279567,54893.55190701722,42234.87246479268,1758.5127980484726,218812.89662683682,314738.9188332672
54910.0,54918.20929198366,-39050.91031108953,787.1240146477136,136555.72506755387,232481.74727398416,54913.66870701723,42234.872464795655,1943.7759017549977,218998.15973054632,314924.1819369766
