time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms
1491.0,1.0,23196.232160726544,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1492.0,1.0,23213.219680726543,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1493.0,1.0,23230.20720072654,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1494.0,1.0,23247.19472072654,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1495.0,1.0,23264.18224072654,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1496.0,1.0,23281.169760726538,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1497.0,1.0,23298.157280726537,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1498.0,1.0,23315.144800726535,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1499.0,1.0,23332.132320726534,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1500.0,1.0,23349.119840726533,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
