time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms
1510.0,1.0,27443.740101248717,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1511.0,1.0,27464.75098124872,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1512.0,1.0,27485.76186124872,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1513.0,1.0,27506.772741248722,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1514.0,1.0,27527.783621248724,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1515.0,1.0,27548.794501248725,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1516.0,1.0,27569.805381248727,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1517.0,1.0,27590.81626124873,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1518.0,1.0,27611.82714124873,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1519.0,1.0,27632.838021248732,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1520.0,1.0,27653.848901248733,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1521.0,1.0,27674.859781248735,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1522.0,1.0,27695.870661248737,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1523.0,1.0,27716.88154124874,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1524.0,1.0,27737.89242124874,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1525.0,1.0,27758.90330124874,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1526.0,1.0,27779.914181248743,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1527.0,1.0,27800.925061248745,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1528.0,1.0,27821.935941248747,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
