time_seconds,milepost,speed_mps,accel_ms2,F_dynamic_kN,F_air_kN,F_total_brake_kN,F_resistance_kN,pwr_whl_out_watts,res_grade_newtons,res_curve_newtons
1541.0,257.2050637278359,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1542.0,257.21617486656356,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1543.0,257.22728600529126,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1544.0,257.2383971440189,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1545.0,257.2495082827466,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1546.0,257.2606194214743,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1547.0,257.27173056020195,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1548.0,257.28284169892964,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1549.0,257.29395283765734,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1550.0,257.305063976385,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1551.0,257.3161751151127,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1552.0,257.3272862538403,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1553.0,257.338397392568,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1554.0,257.3495085312957,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1555.0,257.36061967002337,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1556.0,257.37173080875107,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1557.0,257.3828419474787,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1558.0,257.3939530862064,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1559.0,257.4050642249341,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1560.0,257.41617536366175,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1561.0,257.42728650238945,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1562.0,257.43839764111715,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1563.0,257.4495087798448,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1564.0,257.4606199185725,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1565.0,257.47173105730013,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1566.0,257.48284219602783,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1567.0,257.49395333475553,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1568.0,257.5050644734832,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1569.0,257.5161756122109,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1570.0,257.5272867509385,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1571.0,257.5383978896662,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1572.0,257.5495090283939,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1573.0,257.56062016712156,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1574.0,257.57173130584926,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1575.0,257.58284244457695,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1576.0,257.5939535833046,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1577.0,257.6050647220323,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1578.0,257.61617586075994,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1579.0,257.62728699948764,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1580.0,257.63839813821534,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1581.0,257.649509276943,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1582.0,257.6606204156707,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1583.0,257.6717315543984,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1584.0,257.682842693126,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1585.0,257.6939538318537,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1586.0,257.70506497058136,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1587.0,257.71617610930906,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1588.0,257.72728724803676,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1589.0,257.7383983867644,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1590.0,257.7495095254921,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1591.0,257.7606206642198,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1592.0,257.77173180294744,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1593.0,257.78284294167514,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1594.0,257.7939540804028,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1595.0,257.8050652191305,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1596.0,257.8161763578582,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1597.0,257.8272874965858,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1598.0,257.8383986353135,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1599.0,257.8495097740412,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1600.0,257.86062091276887,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
