time_seconds,milepost,speed_mps,accel_ms2,F_dynamic_kN,F_air_kN,F_total_brake_kN,F_resistance_kN,pwr_whl_out_watts,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_aero_newtons
3886.0,248.36629608347454,18.577880792291108,0.029240521569318757,0.0,0.0,0.0,5489.597560819857,6377172.426293615,63398.498217800545,14697.328279363448,1006084.5210898916,4305417.213232801
3887.0,248.3778498858808,18.610111936742165,0.02870145438444369,0.0,0.0,0.0,5498.234561064355,6377172.426293615,57211.55890263736,15044.596714918833,1006084.5210898916,4319893.884356908
3888.0,248.38942294940176,18.639876156941774,0.027946731142313167,0.0,0.0,0.0,5505.818392469553,6377172.426293615,49555.71270255525,15281.927573912277,1006084.5210898916,4334896.231103194
3889.0,248.4010131499692,18.665270605396326,0.02705762107858243,0.0,0.0,0.0,5512.150124542909,6377172.426293615,41887.10359320895,15405.083622757962,1006084.5210898916,4348773.41623705
3890.0,248.41261880998746,18.689635182225164,0.026137417873226834,0.0,0.0,0.0,5516.368971697834,6377172.426293615,34207.13903677148,15446.52804143875,1006084.5210898916,4360630.783529732
3891.0,248.42423953872816,18.71377200082828,0.025279756289680537,0.0,0.0,0.0,5520.08965096381,6377172.426293615,26516.93065116433,15465.749424807793,1006084.5210898916,4372022.449797946
3892.0,248.43587518477065,18.737649203271086,0.024545859288644563,0.0,0.0,0.0,5523.695255236026,6377172.426293615,18816.737343095636,15471.716563401613,1006084.5210898916,4383322.280239637
3893.0,248.44752557700903,18.761235286528404,0.023959853614395076,0.0,0.0,0.0,5527.178170541364,6377172.426293615,11106.65944773139,15472.071200301629,1006084.5210898916,4394514.9188034395
3894.0,248.4591905241076,18.78449664071146,0.02351840923884659,0.0,0.0,0.0,5530.528507259972,6377172.426293615,3386.810344272813,15472.071200301629,1006084.5210898916,4405585.104625505
3895.0,248.47086981353644,18.80739865812255,0.023203832976449568,0.0,0.0,0.0,5533.730426767709,6377172.426293615,-4342.683183353598,15472.071200301629,1006084.5210898916,4416516.517660869
3896.0,248.4825632119415,18.82990892028275,0.02298902973877309,0.0,0.0,0.0,5536.767321207808,6377172.426293615,-12081.680307357365,15472.183215451698,1006084.5210898916,4427292.297209823
