ReportDate,Subdivision,LineCode,TrackNumber,beg_mp,end_mp,length_ft,length_m,grade_to_next,speed,curvature_deg
2022-12-28,HENDERSON,00H,SG,249.52272727272728,249.52310606060607,1.999999999998181,0.60959999999944559,-0.6,42,-1.5
2022-12-28,HENDERSON,00H,SG,249.53068181818182,249.53106060606061,1.999999999998181,0.60959999999944559,-0.6,41,-1.2
2022-12-28,HENDERSON,00H,SG,251.62443181818182,251.62481060606061,1.999999999998181,0.60959999999944559,-0.6,43,0
2022-12-28,HENDERSON,00H,SG,249.52045454545456,249.52083333333334,1.999999999998181,0.60959999999944559,-0.6,42,-1.6
2022-12-28,HENDERSON,00H,SG,249.52897727272727,249.52935606060606,1.999999999998181,0.60959999999944559,-0.6,41,-1.2
2022-12-28,HENDERSON,00H,SG,249.53011363636364,249.53049242424242,1.999999999998181,0.60959999999944559,-0.6,42,-1.1
2022-12-28,HENDERSON,00H,SG,250.64981060606061,250.6501893939394,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.68352272727273,250.68390151515152,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.68863636363636,250.68901515151515,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.80075757575759,250.80113636363637,1.999999999998181,0.60959999999944559,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,250.85681818181817,250.85719696969696,1.999999999998181,0.60959999999944559,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,250.65662878787879,250.65700757575758,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,251.6371212121212,251.6375,1.999999999998181,0.60959999999944559,-0.6,43,0
2022-12-28,HENDERSON,00H,SG,249.5471590909091,249.54753787878789,1.999999999998181,0.60959999999944559,-0.6,42,-0.4
2022-12-28,HENDERSON,00H,SG,249.86420454545456,249.86458333333334,1.999999999998181,0.60959999999944559,-0.6,40,-0.1
2022-12-28,HENDERSON,00H,SG,250.63446969696969,250.63484848484848,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,251.63371212121211,251.6340909090909,1.999999999998181,0.60959999999944559,-0.6,43,0
2022-12-28,HENDERSON,00H,SG,249.58257575757577,249.58295454545456,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,251.59734848484848,251.59772727272727,1.999999999998181,0.60959999999944559,-0.6,43,0
2022-12-28,HENDERSON,00H,SG,249.5375,249.53787878787878,1.999999999998181,0.60959999999944559,-0.6,41,-0.8
2022-12-28,HENDERSON,00H,SG,250.79375,250.79412878787878,1.999999999998181,0.60959999999944559,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,247.61685606060607,247.61723484848486,1.999999999998181,0.60959999999944559,-0.6,37,0
2022-12-28,HENDERSON,00H,SG,250.58143939393941,250.58181818181819,1.999999999998181,0.60959999999944559,-0.6,41,-0.1
2022-12-28,HENDERSON,00H,SG,250.8064393939394,250.80681818181819,1.999999999998181,0.60959999999944559,-0.6,41,0.1
2022-12-28,HENDERSON,00H,SG,249.67083333333332,249.67121212121211,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.64128787878789,250.64166666666668,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,249.53522727272727,249.53560606060606,1.999999999998181,0.60959999999944559,-0.6,42,-0.9
2022-12-28,HENDERSON,00H,SG,251.63181818181818,251.63219696969696,1.999999999998181,0.60959999999944559,-0.6,43,0
2022-12-28,HENDERSON,00H,SG,249.87121212121212,249.87159090909091,1.999999999998181,0.60959999999944559,-0.6,40,0
2022-12-28,HENDERSON,00H,SG,250.70397727272729,250.70435606060607,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,249.60549242424241,249.6058712121212,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,249.52689393939394,249.52746212121212,2.9999999999972715,0.91439999999916843,-0.6,41,-1.3
2022-12-28,HENDERSON,00H,SG,250.80435606060607,250.80492424242425,2.9999999999972715,0.91439999999916843,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,251.61534090909092,251.6159090909091,2.9999999999972715,0.91439999999916843,-0.6,43,0
2022-12-28,HENDERSON,00H,SG,247.60454545454544,247.60511363636363,2.9999999999972715,0.91439999999916843,-0.6,37,0
2022-12-28,HENDERSON,00H,SG,249.53560606060606,249.53617424242424,2.9999999999972715,0.91439999999916843,-0.6,41,-0.9
2022-12-28,HENDERSON,00H,SG,249.56761363636363,249.56818181818181,2.9999999999972715,0.91439999999916843,-0.6,41,-0.1
2022-12-28,HENDERSON,00H,SG,249.52159090909092,249.5221590909091,2.9999999999972715,0.91439999999916843,-0.6,41,-1.5
